text_id,prompt_id,genre,theme,model_family,model_name,provider,clean_word_count,clean_length_status
GPT_gpt-4o-mini_NAR_001,NAR_001,Narrative,academic,GPT,gpt-4o-mini,OpenAI,217,valid
GPT_gpt-4o-mini_NAR_002,NAR_002,Narrative,academic,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_NAR_003,NAR_003,Narrative,academic,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_NAR_004,NAR_004,Narrative,academic,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_NAR_005,NAR_005,Narrative,academic,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_NAR_006,NAR_006,Narrative,academic,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_NAR_007,NAR_007,Narrative,academic,GPT,gpt-4o-mini,OpenAI,218,valid
GPT_gpt-4o-mini_NAR_008,NAR_008,Narrative,academic,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_NAR_009,NAR_009,Narrative,academic,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_NAR_010,NAR_010,Narrative,academic,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_NAR_011,NAR_011,Narrative,academic,GPT,gpt-4o-mini,OpenAI,210,valid
GPT_gpt-4o-mini_NAR_012,NAR_012,Narrative,academic,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_NAR_013,NAR_013,Narrative,academic,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_NAR_014,NAR_014,Narrative,academic,GPT,gpt-4o-mini,OpenAI,211,valid
GPT_gpt-4o-mini_NAR_015,NAR_015,Narrative,academic,GPT,gpt-4o-mini,OpenAI,210,valid
GPT_gpt-4o-mini_NAR_016,NAR_016,Narrative,academic,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_NAR_017,NAR_017,Narrative,academic,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_NAR_018,NAR_018,Narrative,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_NAR_019,NAR_019,Narrative,academic,GPT,gpt-4o-mini,OpenAI,202,valid
GPT_gpt-4o-mini_NAR_020,NAR_020,Narrative,academic,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_NAR_021,NAR_021,Narrative,business,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_NAR_022,NAR_022,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_NAR_023,NAR_023,Narrative,business,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_NAR_024,NAR_024,Narrative,business,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_NAR_025,NAR_025,Narrative,business,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_NAR_026,NAR_026,Narrative,business,GPT,gpt-4o-mini,OpenAI,211,valid
GPT_gpt-4o-mini_NAR_027,NAR_027,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_NAR_028,NAR_028,Narrative,business,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_NAR_029,NAR_029,Narrative,business,GPT,gpt-4o-mini,OpenAI,217,valid
GPT_gpt-4o-mini_NAR_030,NAR_030,Narrative,business,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_NAR_031,NAR_031,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_NAR_032,NAR_032,Narrative,career,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_NAR_033,NAR_033,Narrative,career,GPT,gpt-4o-mini,OpenAI,211,valid
GPT_gpt-4o-mini_NAR_034,NAR_034,Narrative,career,GPT,gpt-4o-mini,OpenAI,195,valid
GPT_gpt-4o-mini_NAR_035,NAR_035,Narrative,career,GPT,gpt-4o-mini,OpenAI,211,valid
GPT_gpt-4o-mini_NAR_036,NAR_036,Narrative,career,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_NAR_037,NAR_037,Narrative,career,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_NAR_038,NAR_038,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_NAR_039,NAR_039,Narrative,career,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_NAR_040,NAR_040,Narrative,career,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_NAR_041,NAR_041,Narrative,personal,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_NAR_042,NAR_042,Narrative,personal,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_NAR_043,NAR_043,Narrative,personal,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_NAR_044,NAR_044,Narrative,personal,GPT,gpt-4o-mini,OpenAI,203,valid
GPT_gpt-4o-mini_NAR_045,NAR_045,Narrative,personal,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_NAR_046,NAR_046,Narrative,personal,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_NAR_047,NAR_047,Narrative,personal,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_NAR_048,NAR_048,Narrative,personal,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_NAR_049,NAR_049,Narrative,personal,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_NAR_050,NAR_050,Narrative,personal,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_DES_001,DES_001,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,219,valid
GPT_gpt-4o-mini_DES_002,DES_002,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,203,valid
GPT_gpt-4o-mini_DES_003,DES_003,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DES_004,DES_004,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_DES_005,DES_005,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,218,valid
GPT_gpt-4o-mini_DES_006,DES_006,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_DES_007,DES_007,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_DES_008,DES_008,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_DES_009,DES_009,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DES_010,DES_010,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DES_011,DES_011,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DES_012,DES_012,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_DES_013,DES_013,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,202,valid
GPT_gpt-4o-mini_DES_014,DES_014,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_DES_015,DES_015,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_DES_016,DES_016,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_DES_017,DES_017,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,203,valid
GPT_gpt-4o-mini_DES_018,DES_018,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_DES_019,DES_019,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,202,valid
GPT_gpt-4o-mini_DES_020,DES_020,Descriptive,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DES_021,DES_021,Descriptive,business,GPT,gpt-4o-mini,OpenAI,202,valid
GPT_gpt-4o-mini_DES_022,DES_022,Descriptive,business,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DES_023,DES_023,Descriptive,business,GPT,gpt-4o-mini,OpenAI,203,valid
GPT_gpt-4o-mini_DES_024,DES_024,Descriptive,business,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_DES_025,DES_025,Descriptive,business,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DES_026,DES_026,Descriptive,business,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_DES_027,DES_027,Descriptive,business,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DES_028,DES_028,Descriptive,business,GPT,gpt-4o-mini,OpenAI,200,valid
GPT_gpt-4o-mini_DES_029,DES_029,Descriptive,business,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_DES_030,DES_030,Descriptive,business,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_DES_031,DES_031,Descriptive,career,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_DES_032,DES_032,Descriptive,career,GPT,gpt-4o-mini,OpenAI,215,valid
GPT_gpt-4o-mini_DES_033,DES_033,Descriptive,career,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_DES_034,DES_034,Descriptive,career,GPT,gpt-4o-mini,OpenAI,189,valid
