feature_1,feature_2,absolute_correlation
stylo_yules_k,stylo_simpson_diversity,0.9999997865443888
stylo_ai_marker_count,stylo_ai_marker_ratio,0.9984117880121502
stylo_hedging_marker_count,stylo_hedging_marker_ratio,0.9981571420263752
stylo_transition_marker_count,stylo_transition_marker_ratio,0.996957908893636
stylo_period_count,stylo_period_per_100_words,0.9896583834725051
stylo_punctuation_count,stylo_punctuation_per_100_words,0.9891522017556904
stylo_comma_count,stylo_comma_per_100_words,0.9820569230576313
stylo_function_word_count,stylo_function_word_ratio,0.9749288907985129
stylo_flesch_reading_ease,stylo_gunning_fog,0.9549290001011926
stylo_avg_word_length,stylo_flesch_reading_ease,0.9507272750181603
stylo_sentence_length_std,stylo_sentence_length_range,0.9480749119785022
stylo_repeated_word_ratio,stylo_honores_r,0.9196425129829525
stylo_sentence_count,stylo_avg_sentence_length,0.9186640631646813
stylo_type_token_ratio,stylo_hapax_legomena_ratio,0.9181892766541462
stylo_hapax_legomena_ratio,stylo_repeated_word_ratio,0.8929566635150452
stylo_character_count,stylo_avg_word_length,0.8891924837789663
stylo_sentence_count,stylo_period_count,0.8886138644923136
stylo_sentence_count,stylo_short_sentence_ratio,0.8846324482357911
stylo_sentence_count,stylo_period_per_100_words,0.8702029853645779
stylo_avg_sentence_length,stylo_long_sentence_ratio,0.8584697269128203
stylo_avg_sentence_length,stylo_period_count,0.8540999757421809
stylo_avg_word_length,stylo_gunning_fog,0.8527911864474932
stylo_avg_sentence_length,stylo_period_per_100_words,0.8522387822654038
stylo_character_count,stylo_flesch_reading_ease,0.8483746718131138
stylo_yules_k,stylo_mattr_50,0.8434873345361823
stylo_simpson_diversity,stylo_mattr_50,0.8434707520449969
stylo_punctuation_count,stylo_quote_count,0.8239858087736364
stylo_short_sentence_ratio,stylo_period_count,0.8177958018576749
stylo_quote_count,stylo_punctuation_per_100_words,0.8166832609431317
stylo_hapax_legomena_ratio,stylo_honores_r,0.811197363694544
stylo_titlecase_word_count,stylo_uppercase_char_ratio,0.8109383210329069
stylo_sentence_length_std,stylo_sentence_length_max,0.8040424040806382
stylo_short_sentence_ratio,stylo_period_per_100_words,0.8039702504019433
stylo_short_sentence_ratio,stylo_titlecase_word_count,0.7999076483881447
stylo_sentence_count,stylo_titlecase_word_count,0.7945085470324467
stylo_period_count,stylo_titlecase_word_count,0.7812387834006528
stylo_avg_sentence_length,stylo_short_sentence_ratio,0.7767132472292294
stylo_sentence_length_max,stylo_sentence_length_range,0.7743608489941448
stylo_sentence_length_min,stylo_short_sentence_ratio,0.7689979653874544
stylo_titlecase_word_count,stylo_period_per_100_words,0.7644143784829198
stylo_character_count,stylo_gunning_fog,0.7521544187942653
stylo_question_mark_count,stylo_titlecase_word_count,0.7509931271342666
stylo_short_sentence_ratio,stylo_question_mark_count,0.7508732058563514
stylo_quote_count,stylo_titlecase_word_count,0.7373531757558792
stylo_avg_sentence_length,stylo_sentence_length_min,0.732832323803396
stylo_punctuation_count,stylo_titlecase_word_count,0.7286513838554832
stylo_sentence_count,stylo_question_mark_count,0.7233435190791999
stylo_avg_word_length,stylo_function_word_ratio,0.7157410479353159
stylo_sentence_count,stylo_sentence_length_min,0.7148576469442101
stylo_titlecase_word_count,stylo_punctuation_per_100_words,0.7084591253456325
stylo_period_count,stylo_quote_count,0.7070670768722995
stylo_quote_count,stylo_period_per_100_words,0.7053715776944073
stylo_avg_word_length,stylo_function_word_count,0.7025339611488297
stylo_sentence_count,stylo_long_sentence_ratio,0.700832213167328
stylo_question_mark_count,stylo_quote_count,0.6968828040946312
stylo_function_word_ratio,stylo_flesch_reading_ease,0.6921817887075749
stylo_punctuation_per_100_words,stylo_period_per_100_words,0.6844943195661836
stylo_long_sentence_ratio,stylo_period_per_100_words,0.6818069063156469
stylo_sentence_length_min,stylo_period_count,0.6787183729017607
stylo_avg_sentence_length,stylo_titlecase_word_count,0.6785161614275038
stylo_type_token_ratio,stylo_mattr_50,0.6759467540546458
stylo_long_sentence_ratio,stylo_period_count,0.6726660819393754
stylo_punctuation_count,stylo_period_per_100_words,0.6709848517347271
