feature,between_model_variance
stylo_honores_r,71791.4462572004
stylo_character_count,6062.683554999992
stylo_yules_k,187.66261183897953
stylo_flesch_reading_ease,95.29759041357437
stylo_function_word_count,56.22711999999997
stylo_word_count,30.770024999999983
stylo_sentence_length_max,21.535257499999997
stylo_sentence_length_range,19.2392425
stylo_punctuation_count,12.265080000000001
stylo_comma_count,7.726592500000001
stylo_avg_sentence_length,6.516281655394534
stylo_punctuation_per_100_words,3.313563478097578
stylo_period_count,3.109545
stylo_sentence_count,2.6723
stylo_quote_count,2.4989324999999996
stylo_gunning_fog,2.392812963381025
stylo_titlecase_word_count,2.1210124999999977
stylo_sentence_length_std,2.0786575172052597
stylo_sentence_length_min,1.7222799999999996
stylo_comma_per_100_words,1.6061184457679896
stylo_dash_count,0.9488675
stylo_period_per_100_words,0.7963631633501335
stylo_ai_marker_count,0.27863249999999995
stylo_avg_word_length,0.14235939055858696
stylo_exclamation_count,0.06659250000000001
stylo_question_mark_count,0.040482500000000005
stylo_uppercase_word_count,0.037
stylo_hedging_marker_count,0.034192499999999994
stylo_transition_marker_count,0.03353
stylo_semicolon_count,0.025812500000000002
stylo_colon_count,0.016332500000000003
stylo_long_sentence_ratio,0.014047945433812853
stylo_short_sentence_ratio,0.0018954466899461547
stylo_function_word_ratio,0.0010148897906295067
stylo_hapax_legomena_ratio,0.0005257501533204324
stylo_type_token_ratio,0.0004235232687729378
stylo_mattr_50,0.00021259397855695047
stylo_repeated_word_ratio,0.00017644623812117428
stylo_ai_marker_ratio,6.426866914423198e-06
stylo_simpson_diversity,1.893599972410064e-06
stylo_hedging_marker_ratio,9.576454578372254e-07
stylo_transition_marker_ratio,7.718721611452623e-07
stylo_uppercase_char_ratio,2.5634261328376703e-07
