feature,group_a,group_b,mannwhitney_u,p_value,mean_group_a,mean_group_b,mean_difference_a_minus_b,absolute_mean_difference,higher_mean_group,lower_mean_group,p_value_fdr,significant_fdr_0_05,neg_log10_p_fdr
stylo_word_count,DeepSeek,GPT,37187.5,1.8681297241812195e-53,218.785,209.16,9.625,9.625,DeepSeek,GPT,1.8681297241812198e-51,True,50.72859296935864
stylo_comma_per_100_words,Claude,Gemini,3197.0,7.405040819365749e-48,6.181177711872675,9.70718266632725,-3.5260049544545753,3.5260049544545753,Gemini,Claude,3.702520409682875e-46,True,45.43150253880589
stylo_comma_count,Claude,Gemini,3350.0,3.543409843944065e-47,12.945,20.355,-7.41,7.41,Gemini,Claude,1.181136614648022e-45,True,44.92769986736834
stylo_word_count,Claude,DeepSeek,4399.0,3.270219192712476e-45,209.85,218.785,-8.935000000000002,8.935000000000002,DeepSeek,Claude,8.175547981781191e-44,True,43.08748312827161
stylo_long_sentence_ratio,Claude,DeepSeek,4100.5,1.2685613829239981e-43,0.0710692336699285,0.3725633705175113,-0.3014941368475827,0.3014941368475827,DeepSeek,Claude,2.5371227658479958e-42,True,41.5956585177052
stylo_word_count,DeepSeek,Mistral,35215.5,2.7685494274112426e-43,218.785,203.28,15.504999999999995,15.504999999999995,DeepSeek,Mistral,4.1633148752654286e-42,True,41.38056074178704
stylo_sentence_length_max,Claude,DeepSeek,4069.5,2.9143204126858007e-43,25.55,36.785,-11.234999999999996,11.234999999999996,DeepSeek,Claude,4.1633148752654286e-42,True,41.38056074178704
stylo_long_sentence_ratio,Claude,Gemini,4665.0,8.187624109135438e-41,0.0710692336699285,0.3175415449488592,-0.2464723112789306,0.2464723112789306,Gemini,Claude,1.02345301364193e-39,True,38.98993209084656
stylo_sentence_length_std,Claude,DeepSeek,4692.5,5.174462300232631e-40,5.237476548897946,8.472699829638819,-3.2352232807408727,3.2352232807408727,DeepSeek,Claude,5.749402555814035e-39,True,38.24037728230061
stylo_function_word_count,Claude,DeepSeek,4841.5,2.7377270720951923e-39,56.055,75.145,-19.089999999999996,19.089999999999996,DeepSeek,Claude,2.7377270720951923e-38,True,37.56260984947854
stylo_sentence_length_max,Claude,Gemini,5217.0,1.6755488722501491e-37,25.55,35.45,-9.900000000000002,9.900000000000002,Gemini,Claude,1.5232262475001357e-36,True,35.81723558534205
stylo_function_word_ratio,Claude,GPT,5577.5,1.0311787142212945e-35,0.2672375083549493,0.3457979823880001,-0.0785604740330507,0.0785604740330507,GPT,Claude,8.59315595184412e-35,True,34.0658473063955
stylo_avg_word_length,Claude,DeepSeek,34397.5,1.3530701966562618e-35,6.069700310594547,5.087137589537868,0.982562721056679,0.982562721056679,Claude,DeepSeek,1.0408232281971243e-34,True,33.982623024127804
stylo_function_word_count,Claude,GPT,5674.5,2.8210580425209736e-35,56.055,72.425,-16.369999999999997,16.369999999999997,GPT,Claude,2.0150414589435523e-34,True,33.69571601393717
stylo_comma_count,Claude,DeepSeek,6119.5,2.384733766443646e-33,12.945,18.23,-5.285,5.285,DeepSeek,Claude,1.5898225109624303e-32,True,31.798651357951393
