feature,kruskal_h,p_value,epsilon_squared,effect_size_interpretation,max_mean_model,min_mean_model,max_mean,min_mean,mean_difference,n_observations,n_groups,p_value_fdr,significant_fdr_0_05,neg_log10_p_fdr
stylo_sentence_length_max,312.0093778949003,2.7793104600033444e-66,0.3095571637134676,large,DeepSeek,Claude,36.785,25.55,11.234999999999996,1000,5,1.195103497801438e-64,True,63.922594482516935
stylo_long_sentence_ratio,297.6253862098557,3.52384793138419e-63,0.2951008906631716,large,DeepSeek,Claude,0.3725633705175113,0.0710692336699285,0.3014941368475828,1000,5,6.8901008218542735e-62,True,61.16177442307719
stylo_comma_count,297.00014953523186,4.8070470850146097e-63,0.2944725120957104,large,Gemini,Claude,20.355,12.945,7.41,1000,5,6.8901008218542735e-62,True,61.16177442307719
stylo_word_count,293.56160751081893,2.651703146718058e-62,0.2910166909656471,large,DeepSeek,Mistral,218.785,203.28,15.504999999999995,1000,5,2.850580882721913e-61,True,60.5450666317616
stylo_comma_per_100_words,275.4967429793062,2.083868286310799e-58,0.2728610482204082,large,Gemini,Claude,9.70718266632725,6.181177711872675,3.5260049544545753,1000,5,1.7921267262272872e-57,True,56.74663128342653
stylo_sentence_length_std,273.4771079822445,5.678793251785657e-58,0.2708312643037633,large,DeepSeek,Claude,8.472699829638817,5.237476548897945,3.235223280740872,1000,5,4.069801830446387e-57,True,56.39042673722169
stylo_function_word_count,268.3419400260335,7.263927854743899e-57,0.2656702914834508,large,DeepSeek,Claude,75.145,56.055,19.089999999999996,1000,5,4.462127110771252e-56,True,55.35045806230851
stylo_function_word_ratio,235.7778500309732,7.527171106849577e-50,0.2329425628451991,large,GPT,Claude,0.3457979823880002,0.2672375083549493,0.0785604740330508,1000,5,4.045854469931648e-49,True,48.3929897429301
stylo_avg_word_length,229.60469330464815,1.6058009092937778e-48,0.2267383852308022,large,Claude,DeepSeek,6.069700310594547,5.0871375895378685,0.982562721056678,1000,5,7.67215989995916e-48,True,47.11508235435848
stylo_sentence_length_range,207.2196024152757,1.052949253982467e-43,0.2042408064475132,large,DeepSeek,Claude,28.78,18.825,9.955000000000002,1000,5,4.527681792124608e-43,True,42.34412410319357
stylo_avg_sentence_length,203.4064862918916,6.957077926653232e-43,0.2004085289365745,large,DeepSeek,Claude,21.56100798706797,15.03827139980806,6.522736587259912,1000,5,2.719585007691718e-42,True,41.565497361634826
stylo_character_count,201.19336363878875,2.081113239233303e-42,0.1981842850641093,large,Claude,Mistral,1523.975,1326.72,197.25499999999988,1000,5,7.457322440586002e-42,True,41.12741707842741
stylo_ai_marker_ratio,197.3165278788419,1.418318260566669e-41,0.194287967717429,large,Gemini,DeepSeek,0.0073905858686609,0.0016000982700917,0.0057904875985692,1000,5,4.691360400335904e-41,True,40.328701202340646
stylo_type_token_ratio,197.0503229255498,1.6180760842966903e-41,0.1940204250508038,large,Claude,GPT,0.7185447765894117,0.6681563562317868,0.0503884203576249,1000,5,4.96980511605412e-41,True,40.30366064118251
stylo_period_per_100_words,192.4766777507306,1.5561734806609695e-40,0.1894237967344026,large,Claude,DeepSeek,7.264191240726494,5.02589350853003,2.238297732196465,1000,5,4.461030644561446e-40,True,39.35056479340976
