feature,kruskal_h,p_value,epsilon_squared,effect_size_interpretation,max_mean_model,min_mean_model,max_mean,min_mean,mean_difference,n_observations,n_groups,genre,p_value_fdr,significant_fdr_0_05,neg_log10_p_fdr
stylo_period_per_100_words,151.15877238309835,1.1492155992344676e-31,0.6006480505432585,large,Claude,DeepSeek,5.870112090705846,3.803984217469749,2.066127873236097,250,5,Argumentative,1.9651586746909396e-29,True,28.70660237721704
stylo_period_count,148.87592157164906,3.544821138083941e-31,0.5913302921291799,large,Claude,Gemini,12.54,8.24,4.299999999999999,250,5,Argumentative,3.0308220730617696e-29,True,28.518439558503903
stylo_function_word_count,147.3574868620856,7.497652295412667e-31,0.5851325994370841,large,DeepSeek,Claude,64.96,45.36,19.59999999999999,250,5,Argumentative,4.2736618083852197e-29,True,28.36919984823731
stylo_function_word_ratio,139.00902154377886,4.600355648001317e-29,0.5510572307909342,large,GPT,Claude,0.3093419060633307,0.2120183435605128,0.0973235625028178,250,5,Argumentative,1.9666520395205628e-27,True,26.7062724731686
stylo_avg_sentence_length,137.1753284673216,1.1357641494034332e-28,0.5435727692543739,large,Gemini,Claude,24.65470634920635,17.047293845043846,7.607412504162504,250,5,Argumentative,3.2369278257997855e-27,True,26.48986698400995
stylo_avg_word_length,116.04364457999044,3.736417208733036e-24,0.4573209982856752,large,Claude,DeepSeek,6.198569646927346,4.923389717130115,1.2751799297972315,250,5,Descriptive,4.9148257130257633e-23,True,22.308491878282148
stylo_comma_count,113.64152467028391,1.2165788823736409e-23,0.4475164272256486,large,Gemini,Claude,22.34,13.48,8.86,250,5,Descriptive,1.300218680536829e-22,True,21.885983598644344
stylo_period_per_100_words,109.56959496661123,8.990433263758136e-23,0.4308963059861683,large,Claude,DeepSeek,5.807025355682645,3.7414489495201506,2.065576406162495,250,5,Descriptive,8.54091160057023e-22,True,21.068495773108587
stylo_comma_per_100_words,106.4799248209525,4.09729740152605e-22,0.4182854074324592,large,Gemini,Claude,10.907716102201553,6.498873395498702,4.408842706702851,250,5,Descriptive,3.1847175257316114e-21,True,20.496929082153247
stylo_avg_sentence_length,103.94933285754014,1.4182650537370032e-21,0.407956460643021,large,DeepSeek,Claude,26.420454545454547,17.516813828328534,8.903640717126013,250,5,Descriptive,1.0105138507876147e-20,True,19.995457729373413
stylo_word_count,123.456553769232,9.754686792701744e-26,0.4875777704866612,large,DeepSeek,Claude,219.52,205.34,14.180000000000009,250,5,Dialogue,1.5164104014109075e-24,True,23.819183245308732
stylo_long_sentence_ratio,113.5414923810436,1.2778685244240532e-23,0.4471081321675249,large,Gemini,Claude,0.2316061009853579,0.02263942513044,0.2089666758549178,250,5,Dialogue,1.2853853980971361e-22,True,21.890966637957483
stylo_sentence_length_std,109.5121663193968,9.247567079758536e-23,0.4306619033444767,large,Gemini,Claude,9.92655984101578,5.535882018454061,4.390677822561719,250,5,Dialogue,8.322810371782683e-22,True,21.07973000028794
stylo_avg_sentence_length,108.27708219925472,1.6958428830611496e-22,0.4256207436704274,large,Gemini,Claude,17.051626234618496,10.797842961151362,6.253783273467134,250,5,Dialogue,1.449945665017283e-21,True,20.838648272127305
stylo_punctuation_per_100_words,107.65547244997136,2.3009728742073363e-22,0.4230835610202913,large,Claude,DeepSeek,33.860055019126676,18.26297376795027,15.597081251176403,250,5,Dialogue,1.8736493404259736e-21,True,20.72731168546952
stylo_avg_word_length,134.29070053876382,4.705232853107442e-28,0.5317987777092401,large,Claude,DeepSeek,5.88094885482583,4.8094222261316935,1.0715266286941365,250,5,Narrative,1.149421168401961e-26,True,25.939520808911467
stylo_character_count,114.05350963881388,9.936269084768936e-24,0.4491979985257709,large,Claude,Mistral,1491.86,1257.2,234.65999999999983,250,5,Narrative,1.21364429535392e-22,True,21.915908581136357
stylo_long_sentence_ratio,97.5693990195542,3.237204174462772e-20,0.3819159143655274,large,DeepSeek,Claude,0.3051008158508158,0.0380059107559107,0.2670949050949051,250,5,Narrative,2.0502293104930891e-19,True,18.688197562011418
stylo_comma_count,97.26651421976425,3.7550660137518204e-20,0.3806796498765887,large,Gemini,Claude,20.36,12.42,7.94,250,5,Narrative,2.293272458398433e-19,True,18.63954434468148
stylo_flesch_reading_ease,97.01269169062232,4.2522866554490736e-20,0.3796436395535605,large,DeepSeek,Claude,51.98415110472327,27.68940851850664,24.29474258621663,250,5,Narrative,2.5073828209716953e-19,True,18.600779353978336
