feature,importance
stylo_word_count,0.0758319097027349
stylo_avg_word_length,0.0414163868318717
stylo_character_count,0.0413544018232973
stylo_sentence_length_std,0.0393808008957078
stylo_comma_per_100_words,0.0377271844064632
stylo_punctuation_per_100_words,0.0374992144732833
stylo_function_word_count,0.0354033006098399
stylo_type_token_ratio,0.0344452598675606
stylo_long_sentence_ratio,0.0342492598244006
stylo_comma_count,0.0327648073186467
stylo_period_per_100_words,0.0327645482445753
stylo_ai_marker_ratio,0.0322128054548917
stylo_function_word_ratio,0.03167409430563
stylo_avg_sentence_length,0.0295829753433479
stylo_punctuation_count,0.0283308730917632
stylo_flesch_reading_ease,0.0280159100243179
stylo_dash_count,0.0277066354426262
stylo_sentence_length_max,0.0257755600237574
stylo_gunning_fog,0.0252666921063619
stylo_quote_count,0.0236131584660527
stylo_hapax_legomena_ratio,0.0232084009362276
stylo_sentence_length_range,0.0220398184295722
stylo_sentence_count,0.0213738048728439
stylo_period_count,0.0199438206328504
stylo_mattr_50,0.0191135619848793
stylo_ai_marker_count,0.0179868964915081
stylo_simpson_diversity,0.0175835397771258
stylo_yules_k,0.0166784370421874
stylo_honores_r,0.0160499970079672
stylo_repeated_word_ratio,0.0158718521479462
stylo_uppercase_char_ratio,0.0150042608288734
stylo_titlecase_word_count,0.0146290109616525
stylo_sentence_length_min,0.013025697614732
stylo_hedging_marker_ratio,0.0129803405595798
stylo_transition_marker_ratio,0.0112216284072808
stylo_short_sentence_ratio,0.0103138427413914
stylo_exclamation_count,0.0069660996930151
stylo_hedging_marker_count,0.0065790182365685
stylo_transition_marker_count,0.0063010378260566
stylo_question_mark_count,0.0049088129477273
stylo_uppercase_word_count,0.0046738761626642
stylo_semicolon_count,0.0044163757490511
stylo_colon_count,0.0041140906911668
